"Code","Company","Price","Franking","Yield","Gross","DRP","1yr Return"
"PPT","Perpetual Ltd","$20.65","42%","5.71%","6.74%","Yes","-1.95%"
"BOQ","Bank of Queensland Ltd","$6.68","100%","5.69%","8.13%","Yes","+21.45%"
"AIZ","Air New Zealand Ltd","$0.485","0%","5.67%","5.67%","Yes","-19.84%"
"AN3PI","Australia and New Zealand Banking Group Ltd","$103.90","60%","5.60%","7.05%","No","+2.51%"
"FGX","Future Generation Australia Ltd","$1.225","100%","5.59%","7.99%","Yes","+12.38%"
"CNI","Centuria Capital Group","$1.795","8%","5.57%","5.76%","Yes","+43.03%"
"VCX","Vicinity Centres","$2.11","0%","5.57%","5.57%","No","+17.55%"
"AX1","Accent Group Ltd","$2.34","100%","5.56%","7.94%","No","+17.29%"
"ORG","Origin Energy Ltd","$9.91","100%","5.55%","7.93%","Yes","+11.72%"
"NABPF","National Australia Bank Ltd","$104.90","100%","5.54%","7.91%","No","+0.59%"
"ANZ","ANZ Group Holdings Ltd","$32.13","60%","5.51%","6.93%","Yes","+24.49%"
"QPON","Betashares Australian Bank Senior Floating Rate Bond ETF","$26.02","0%","5.45%","5.45%","Yes","+0.62%"
"AN3PK","Australia and New Zealand Banking Group Ltd","$103.51","60%","5.43%","6.84%","No","+3.78%"
"BENPH","Bendigo and Adelaide Bank Ltd","$104.98","100%","5.43%","7.76%","No","+2.01%"
"GPT","GPT Group","$4.53","0%","5.41%","5.41%","No","+15.86%"
"AN3PJ","Australia and New Zealand Banking Group Ltd","$103.70","60%","5.38%","6.78%","No","+4.11%"
"BWP","BWP Trust","$3.40","0%","5.38%","5.38%","Yes","-0.29%"
"NIC","Nickel Industries Ltd","$0.93","0%","5.38%","5.38%","No","+15.53%"
"HPI","Hotel Property Investments","$3.56","0%","5.34%","5.34%","Yes","+28.99%"
"CIP","Centuria Industrial REIT","$3.02","0%","5.32%","5.32%","Yes","+1.68%"
"RIO","RIO Tinto Ltd","$123.31","100%","5.31%","7.58%","Yes","+2.66%"
"DDR","Dicker Data Ltd","$8.86","100%","5.30%","7.58%","Yes","-20.39%"
"PL8","Plato Income Maximiser Ltd","$1.245","100%","5.30%","7.57%","No","+4.18%"
"CBAPG","Commonwealth Bank of Australia","$102.35","100%","5.28%","7.54%","No","+0.21%"
