Rank,Title,Year,Duration,Classification,Rating,Votes,Description,Directors,Stars
37,The Lion King,1994,1h 28m,G,8.5,1.2M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones"
38,Harakiri,1962,2h 13m,Not Rated,8.6,88K,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
39,The Departed,2006,2h 31m,R,8.5,1.5M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
40,Whiplash,2014,1h 46m,R,8.5,1.1M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist"
41,The Prestige,2006,2h 10m,PG-13,8.5,1.6M,Rival 19th-century magicians engage in a bitter battle for trade secrets.,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson"
42,American History X,1998,1h 59m,R,8.5,1.3M,A white supremacist is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo"
43,Léon: The Professional,1994,1h 50m,R,8.5,1.3M,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge.",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman"
44,Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5,496K,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
45,Cinema Paradiso,1988,2h 54m,PG,8.5,313K,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
46,Casablanca,1942,1h 42m,PG,8.5,648K,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
47,The Intouchables,2011,1h 52m,R,8.5,1M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny"
48,The Usual Suspects,1995,1h 46m,R,8.5,1.2M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
49,Alien,1979,1h 57m,R,8.5,1M,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt"
50,Modern Times,1936,1h 27m,G,8.5,282K,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
51,Rear Window,1954,1h 52m,PG,8.5,562K,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey"
52,Django Unchained,2012,2h 45m,R,8.5,1.8M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
53,Once Upon a Time in the West,1968,2h 46m,PG-13,8.5,380K,A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale"
54,City Lights,1931,1h 27m,G,8.5,214K,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee"
55,Apocalypse Now,1979,2h 27m,R,8.4,760K,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall"
56,WALL·E,2008,1h 38m,G,8.4,1.3M,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin"
57,Memento,2000,1h 53m,R,8.4,1.4M,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
58,Dune: Part Two,2024,2h 46m,PG-13,8.4,693K,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
59,Raiders of the Lost Ark,1981,1h 55m,PG,8.4,1.1M,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman"
60,Avengers: Infinity War,2018,2h 29m,PG-13,8.4,1.3M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
61,The Lives of Others,2006,2h 17m,R,8.4,439K,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
62,Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,765K,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld"
63,Sunset Boulevard,1950,1h 50m,Approved,8.4,258K,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim"
64,Witness for the Prosecution,1957,1h 56m,Approved,8.4,159K,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton"
65,Paths of Glory,1957,1h 28m,Approved,8.4,235K,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou"
66,The Shining,1980,2h 26m,R,8.4,1.2M,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
67,The Great Dictator,1940,2h 5m,G,8.4,257K,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
68,Inglourious Basterds,2009,2h 33m,R,8.4,1.7M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
69,12th Fail,2023,2h 27m,N/A,8.7,164K,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
70,Aliens,1986,2h 17m,R,8.4,830K,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn"
71,High and Low,1963,2h 23m,Not Rated,8.4,69K,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
72,The Dark Knight Rises,2012,2h 44m,PG-13,8.4,2M,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
73,Coco,2017,1h 45m,PG,8.4,685K,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Adrian Molina, Lee Unkrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
74,Avengers: Endgame,2019,3h 1m,PG-13,8.4,1.4M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo"
75,Amadeus,1984,2h 40m,PG,8.4,462K,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
76,Good Will Hunting,1997,2h 6m,R,8.3,1.2M,"A therapist counsels Will Hunting, a janitor with a genius IQ.",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck"
77,Toy Story,1995,1h 21m,G,8.3,1.2M,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
78,Your Name.,2016,1h 46m,N/A,8.4,378K,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
79,Das Boot,1981,2h 29m,N/A,8.4,285K,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
80,Oldboy,2003,2h,R,8.3,702K,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3,547K,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden"
82,Braveheart,1995,2h 58m,R,8.3,1.1M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan"
83,Princess Mononoke,1997,2h 13m,PG-13,8.3,474K,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
84,American Beauty,1999,2h 2m,R,8.3,1.3M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch"
85,3 Idiots,2009,2h 50m,PG-13,8.4,473K,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh"
86,Capernaum,2018,2h 6m,R,8.4,121K,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
87,Joker,2019,2h 2m,R,8.3,1.7M,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz"
88,Singin' in the Rain,1952,1h 43m,G,8.3,279K,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds"
89,Once Upon a Time in America,1984,3h 49m,R,8.3,403K,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern"
90,Come and See,1985,2h 22m,Not Rated,8.3,119K,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
91,Requiem for a Dream,2000,1h 42m,NC-17,8.3,960K,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
92,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,1.2M,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher"
93,Toy Story 3,2010,1h 43m,G,8.3,954K,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack"
94,The Hunt,2012,1h 55m,R,8.3,401K,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
95,Ikiru,1952,2h 23m,Not Rated,8.3,100K,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori"
96,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,1.2M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson"
97,Incendies,2010,2h 11m,R,8.3,242K,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette"
98,The Apartment,1960,2h 5m,Approved,8.3,215K,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray"
99,Lawrence of Arabia,1962,3h 47m,Approved,8.3,337K,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn"
100,2001: A Space Odyssey,1968,2h 29m,G,8.3,771K,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester"
101,Reservoir Dogs,1992,1h 39m,R,8.3,1.2M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen"
102,Scarface,1983,2h 50m,R,8.3,996K,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer"
103,Heat,1995,2h 50m,R,8.3,784K,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
104,Double Indemnity,1944,1h 47m,Approved,8.3,179K,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
105,Up,2009,1h 36m,PG,8.3,1.2M,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.","Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger"
106,North by Northwest,1959,2h 16m,Approved,8.3,366K,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason"
107,M,1931,1h 39m,Passed,8.3,181K,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut"
108,Full Metal Jacket,1987,1h 56m,R,8.2,840K,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
109,Like Stars on Earth,2007,2h 42m,PG,8.3,228K,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra"
110,Citizen Kane,1941,1h 59m,PG,8.2,489K,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore"
111,Amélie,2001,2h 2m,R,8.3,831K,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus"
112,Vertigo,1958,2h 8m,PG,8.2,454K,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes"
113,A Separation,2011,2h 3m,PG-13,8.3,275K,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat"
114,Die Hard,1988,2h 12m,R,8.2,1M,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia"
115,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,348K,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton"
116,The Sting,1973,2h 9m,PG,8.2,297K,Two grifters team up to pull off the ultimate con.,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw"
117,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,854K,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody"
118,A Clockwork Orange,1971,2h 16m,R,8.2,927K,Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates"
119,Metropolis,1927,2h 33m,Not Rated,8.2,199K,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich"
120,Snatch,2000,1h 42m,R,8.2,964K,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham"
121,1917,2019,1h 59m,R,8.2,753K,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays"
122,L.A. Confidential,1997,2h 18m,R,8.2,652K,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce"
123,Downfall,2004,2h 36m,R,8.2,396K,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
124,Oppenheimer,2023,3h,R,8.2,971K,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon"
125,Bicycle Thieves,1948,1h 29m,Not Rated,8.2,190K,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
126,Dangal,2016,2h 41m,Not Rated,8.3,237K,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
127,The Wolf of Wall Street,2013,3h,R,8.2,1.7M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
128,The Truman Show,1998,1h 43m,PG,8.2,1.3M,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney"
129,Green Book,2018,2h 10m,PG-13,8.2,665K,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
130,Hamilton,2020,2h 40m,PG-13,8.3,135K,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
131,Batman Begins,2005,2h 20m,PG-13,8.2,1.7M,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe"
132,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,95K,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark"
133,Shutter Island,2010,2h 18m,R,8.2,1.6M,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
134,Taxi Driver,1976,1h 54m,R,8.2,1M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd"
135,For a Few Dollars More,1965,2h 12m,R,8.2,296K,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè"
136,Some Like It Hot,1959,2h 1m,Approved,8.2,301K,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon"
137,Jurassic Park,1993,2h 7m,PG-13,8.2,1.2M,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
138,There Will Be Blood,2007,2h 38m,R,8.2,694K,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
139,The Kid,1921,1h 8m,Passed,8.2,144K,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan"
140,The Father,2020,1h 37m,PG-13,8.2,229K,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
141,All About Eve,1950,2h 18m,Approved,8.2,148K,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders"
142,The Sixth Sense,1999,1h 47m,PG-13,8.2,1.1M,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette"
143,Ran,1985,2h 40m,R,8.2,149K,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
144,Casino,1995,2h 58m,R,8.2,609K,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
145,No Country for Old Men,2007,2h 2m,R,8.2,1.2M,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin"
146,The Thing,1982,1h 49m,R,8.2,516K,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David"
147,Top Gun: Maverick,2022,2h 10m,PG-13,8.2,824K,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
148,The Chaos Class Failed the Class,1975,1h 35m,N/A,8.5,29K,The Chaos Class are up to their usual tricks and have a new teacher to try them out on.,Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal"
149,Pan's Labyrinth,2006,1h 58m,R,8.2,739K,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López"
150,Prisoners,2013,2h 33m,R,8.2,908K,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
